brf_name,building_id,estimated_building_size_m2,energy_performance,energy_class,construction_year,Cleaning_SEK,Cleaning_per_m2,Electricity_SEK,Electricity_per_m2,Heating_SEK,Heating_per_m2,Internet & TV_SEK,Internet & TV_per_m2,Recycling_SEK,Recycling_per_m2,Snow Removal_SEK,Snow Removal_per_m2,Water_SEK,Water_per_m2,Total_SEK,Total_per_m2
Brf Hammarby Kaj,eghs_1,5250.0,147.0,E,2002,0.0,0.0,171277.0,32.62419047619048,1069532.0,203.72038095238096,58056.0,11.058285714285715,235231.0,44.80590476190476,0.0,0.0,91180.0,17.367619047619048,1625276.0,309.57638095238093
Brf Havet,eghs_2,1500.0,93.0,D,2001,0.0,0.0,1016886.0,677.924,697129.0,464.75266666666664,116280.0,77.52,239496.0,159.664,127494.0,84.996,324308.0,216.20533333333333,2521593.0,1681.062
Brf Holmen,eghs_3,1200.0,115.0,D,2002,0.0,0.0,706894.0,589.0783333333334,784677.0,653.8975,47574.0,39.645,109546.0,91.28833333333333,34343.0,28.61916666666667,337638.0,281.365,2020672.0,1683.8933333333334
Brf Sjöportalen 1,eghs_4,2700.0,155.0,F,2003,0.0,0.0,320386.0,118.66148148148149,976974.0,361.84222222222223,72305.0,26.77962962962963,69933.0,25.90111111111111,0.0,0.0,163992.0,60.73777777777778,1603590.0,593.9222222222222
Brf Sjöstaden 2,eghs_5,3500.0,53.0,B,2003,0.0,0.0,1828349.0,522.3854285714285,84077.0,24.022,258332.0,73.80914285714286,145159.0,41.474,157709.0,45.059714285714286,476731.0,136.20885714285714,2950357.0,842.9591428571429
Brf Sjöstadsesplanaden 1,eghs_6,900.0,73.0,C,2009,0.0,0.0,149464.0,166.07111111111112,726485.0,807.2055555555555,321635.0,357.3722222222222,196824.0,218.69333333333333,0.0,0.0,196863.0,218.73666666666668,1591271.0,1768.078888888889
Brf Sjöstadspiren,eghs_7,4875.0,48.8,B,2010,0.0,0.0,2291599.0,470.07158974358975,0.0,0.0,288873.0,59.256,63247.0,12.97374358974359,89689.0,18.39774358974359,225807.0,46.319384615384614,2959215.0,607.0184615384616
Brf Strandkanten,eghs_8,1800.0,73.0,C,2004,0.0,0.0,153803.0,85.44611111111111,139209.0,77.33833333333334,69368.0,38.53777777777778,0.0,0.0,0.0,0.0,31319.0,17.399444444444445,393699.0,218.72166666666666
Brf Sundet,eghs_9,1800.0,51.0,B,2003,0.0,0.0,569198.0,316.2211111111111,64978.0,36.09888888888889,41116.0,22.842222222222222,6647.0,3.6927777777777777,8225.0,4.569444444444445,71744.0,39.85777777777778,761908.0,423.28222222222223
